"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670972","4.3.16.4","12.8","E","","","1"
"2017","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670972","4.3.16.4","6.6","E","","","1"
"2018","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670972","4.3.16.4","13.8","","","","1"
"2019","Nova Scotia","2016A000212","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111670972","4.3.16.4","10.5","E","","","1"
"2015","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671144","4.4.15.1","28200","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671144","4.4.15.1","25000","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671144","4.4.15.1","35100","","","","0"
"2018","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671144","4.4.15.1","19800","E","","","0"
"2019","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671144","4.4.15.1","16300","E","","","0"
"2015","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671147","4.4.15.4","15.3","","","","1"
"2016","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671147","4.4.15.4","15.3","","","","1"
"2017","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671147","4.4.15.4","19.7","","","","1"
"2018","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671147","4.4.15.4","12.8","E","","","1"
"2019","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671147","4.4.15.4","10.2","E","","","1"
"2015","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671151","4.4.16.1","22800","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671151","4.4.16.1","18000","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671151","4.4.16.1","26700","E","","","0"
"2018","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671151","4.4.16.1","15400","E","","","0"
"2019","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671151","4.4.16.1","12100","E","","","0"
"2015","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671154","4.4.16.4","12.4","E","","","1"
"2016","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671154","4.4.16.4","11.0","E","","","1"
"2017","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671154","4.4.16.4","15.0","E","","","1"
"2018","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671154","4.4.16.4","10.0","E","","","1"
"2019","Nova Scotia","2016A000212","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671154","4.4.16.4","7.5","E","","","1"
"2015","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671326","4.5.15.1","25600","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671326","4.5.15.1","25300","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671326","4.5.15.1","17900","E","","","0"
"2018","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671326","4.5.15.1","18600","E","","","0"
"2019","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671326","4.5.15.1","28600","","","","0"
"2015","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671329","4.5.15.4","14.1","E","","","1"
"2016","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671329","4.5.15.4","14.3","E","","","1"
"2017","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671329","4.5.15.4","11.3","E","","","1"
"2018","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671329","4.5.15.4","10.9","E","","","1"
"2019","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111671329","4.5.15.4","15.8","","","","1"
"2015","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671333","4.5.16.1","21700","E","","","0"
"2016","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671333","4.5.16.1","19500","E","","","0"
"2017","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671333","4.5.16.1","10200","E","","","0"
"2018","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671333","4.5.16.1","13100","E","","","0"
"2019","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111671333","4.5.16.1","18800","E","","","0"
"2015","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671336","4.5.16.4","11.9","E","","","1"
"2016","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671336","4.5.16.4","11.0","E","","","1"
"2017","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671336","4.5.16.4","6.4","E","","","1"
"2018","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671336","4.5.16.4","7.6","E","","","1"
"2019","Nova Scotia","2016A000212","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111671336","4.5.16.4","10.4","E","","","1"
"2015","Nova Scotia","2016A000212","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671508","4.6.15.1","14600","E","","","0"
"2016","Nova Scotia","2016A000212","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671508","4.6.15.1","23800","E","","","0"
"2017","Nova Scotia","2016A000212","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671508","4.6.15.1","15500","E","","","0"
"2018","Nova Scotia","2016A000212","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111671508","4.6.15.1","12800","E","","","0"
